"source_code","target_system","target_code","target_display"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6Q0Z0","Detachment at Left 1st Toe, Complete, Open Approach"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6R0Z0","Detachment at Right 2nd Toe, Complete, Open Approach"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6S0Z0","Detachment at Left 2nd Toe, Complete, Open Approach"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6T0Z0","Detachment at Right 3rd Toe, Complete, Open Approach"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6U0Z0","Detachment at Left 3rd Toe, Complete, Open Approach"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6V0Z0","Detachment at Right 4th Toe, Complete, Open Approach"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6W0Z0","Detachment at Left 4th Toe, Complete, Open Approach"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6X0Z0","Detachment at Right 5th Toe, Complete, Open Approach"
"28810","http://hl7.org/fhir/sid/icd-10-pcs","0Y6Y0Z0","Detachment at Left 5th Toe, Complete, Open Approach"
"29888","http://hl7.org/fhir/sid/icd-10-pcs","0QQD4ZZ","Repair Right Patella, Percutaneous Endoscopic Approach"
"29888","http://hl7.org/fhir/sid/icd-10-pcs","0QQF4ZZ","Repair Left Patella, Percutaneous Endoscopic Approach"
"29888","http://hl7.org/fhir/sid/icd-10-pcs","0QQG4ZZ","Repair Right Tibia, Percutaneous Endoscopic Approach"
"29888","http://hl7.org/fhir/sid/icd-10-pcs","0QQH4ZZ","Repair Left Tibia, Percutaneous Endoscopic Approach"
"31237","http://hl7.org/fhir/sid/icd-10-pcs","09JK8ZZ","Inspection of Nasal Mucosa and Soft Tissue, Via Natural or Artificial Opening Endoscopic"
"31237","http://hl7.org/fhir/sid/icd-10-pcs","09JY8ZZ","Inspection of Sinus, Via Natural or Artificial Opening Endoscopic"
"31600","http://hl7.org/fhir/sid/icd-10-pcs","0BH10DZ","Insertion of Intraluminal Device into Trachea, Open Approach"
"31622","http://hl7.org/fhir/sid/icd-10-pcs","0BJK8ZZ","Inspection of Right Lung, Via Natural or Artificial Opening Endoscopic"
"31622","http://hl7.org/fhir/sid/icd-10-pcs","0BJL8ZZ","Inspection of Left Lung, Via Natural or Artificial Opening Endoscopic"
"32653","http://hl7.org/fhir/sid/icd-10-pcs","0BCK8ZZ","Extirpation of Matter from Right Lung, Via Natural or Artificial Opening Endoscopic"
"32653","http://hl7.org/fhir/sid/icd-10-pcs","0BCL8ZZ","Extirpation of Matter from Left Lung, Via Natural or Artificial Opening Endoscopic"
"32653","http://hl7.org/fhir/sid/icd-10-pcs","0BCM8ZZ","Extirpation of Matter from Bilateral Lungs, Via Natural or Artificial Opening Endoscopic"
"32653","http://hl7.org/fhir/sid/icd-10-pcs","0BCN4ZZ","Extirpation of Matter from Right Pleura, Percutaneous Endoscopic Approach"
"32653","http://hl7.org/fhir/sid/icd-10-pcs","0BCP4ZZ","Extirpation of Matter from Left Pleura, Percutaneous Endoscopic Approach"
"32815","http://hl7.org/fhir/sid/icd-10-pcs","0BQ30ZZ","Repair Right Main Bronchus, Open Approach"
"32815","http://hl7.org/fhir/sid/icd-10-pcs","0BQ70ZZ","Repair Left Main Bronchus, Open Approach"
"33210","http://hl7.org/fhir/sid/icd-10-pcs","02HK0JZ","Insertion of Pacemaker Lead into Right Ventricle, Open Approach"
"33225","http://hl7.org/fhir/sid/icd-10-pcs","02HL0JZ","Insertion of Pacemaker Lead into Left Ventricle, Open Approach"
"33365","http://hl7.org/fhir/sid/icd-10-pcs","02RF0JZ","Replacement of Aortic Valve with Synthetic Substitute, Open Approach"
"33405","http://hl7.org/fhir/sid/icd-10-pcs","02RF0JZ","Replacement of Aortic Valve with Synthetic Substitute, Open Approach"
"33406","http://hl7.org/fhir/sid/icd-10-pcs","02RF0KZ","Replacement of Aortic Valve with Nonautologous Tissue Substitute, Open Approach"
"33416","http://hl7.org/fhir/sid/icd-10-pcs","02BK0ZZ","Excision of Right Ventricle, Open Approach"
"33416","http://hl7.org/fhir/sid/icd-10-pcs","02BL0ZZ","Excision of Left Ventricle, Open Approach"
"33430","http://hl7.org/fhir/sid/icd-10-pcs","02RG0JZ","Replacement of Mitral Valve with Synthetic Substitute, Open Approach"
"33463","http://hl7.org/fhir/sid/icd-10-pcs","02QJ0ZZ","Repair Tricuspid Valve, Open Approach"
"33464","http://hl7.org/fhir/sid/icd-10-pcs","02UJ0JZ","Supplement Tricuspid Valve with Synthetic Substitute, Open Approach"
"33468","http://hl7.org/fhir/sid/icd-10-pcs","02QJ0ZZ","Repair Tricuspid Valve, Open Approach"
"33517","http://hl7.org/fhir/sid/icd-10-pcs","0210093","Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Open Approach"
"33517","http://hl7.org/fhir/sid/icd-10-pcs","0211093","Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach"
"33517","http://hl7.org/fhir/sid/icd-10-pcs","0212093","Bypass Coronary Artery, Three Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach"
"33517","http://hl7.org/fhir/sid/icd-10-pcs","0213093","Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach"
"33641","http://hl7.org/fhir/sid/icd-10-pcs","02Q50ZZ","Repair Atrial Septum, Open Approach"
"33645","http://hl7.org/fhir/sid/icd-10-pcs","02QA0ZZ","Repair Heart, Open Approach"
"33860","http://hl7.org/fhir/sid/icd-10-pcs","02UX0JZ","Supplement Thoracic Aorta, Ascending/Arch with Synthetic Substitute, Open Approach"
"33883","http://hl7.org/fhir/sid/icd-10-pcs","02HW0DZ","Insertion of Intraluminal Device into Thoracic Aorta, Descending, Open Approach"
"33945","http://hl7.org/fhir/sid/icd-10-pcs","02YA0Z0","Transplantation of Heart, Allogeneic, Open Approach"
"33945","http://hl7.org/fhir/sid/icd-10-pcs","02YA0Z1","Transplantation of Heart, Syngeneic, Open Approach"
"33945","http://hl7.org/fhir/sid/icd-10-pcs","02YA0Z2","Transplantation of Heart, Zooplastic, Open Approach"
"33967","http://hl7.org/fhir/sid/icd-10-pcs","02HA0YZ","Insertion of Other Device into Heart, Open Approach"
"33976","http://hl7.org/fhir/sid/icd-10-pcs","02HK0YZ","Insertion of Other Device into Right Ventricle, Open Approach"
"33976","http://hl7.org/fhir/sid/icd-10-pcs","02HL0YZ","Insertion of Other Device into Left Ventricle, Open Approach"
"33992","http://hl7.org/fhir/sid/icd-10-pcs","02PA0QZ","Removal of Implantable Heart Assist System from Heart, Open Approach"
"35142","http://hl7.org/fhir/sid/icd-10-pcs","04VK0ZZ","Restriction of Right Femoral Artery, Open Approach"
"35142","http://hl7.org/fhir/sid/icd-10-pcs","04VL0ZZ","Restriction of Left Femoral Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03B30ZZ","Excision of Right Subclavian Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03B40ZZ","Excision of Left Subclavian Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03BH0ZZ","Excision of Right Common Carotid Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03BJ0ZZ","Excision of Left Common Carotid Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03BK0ZZ","Excision of Right Internal Carotid Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03BL0ZZ","Excision of Left Internal Carotid Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03BM0ZZ","Excision of Right External Carotid Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03BN0ZZ","Excision of Left External Carotid Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03BP0ZZ","Excision of Right Vertebral Artery, Open Approach"
"35301","http://hl7.org/fhir/sid/icd-10-pcs","03BQ0ZZ","Excision of Left Vertebral Artery, Open Approach"
"35556","http://hl7.org/fhir/sid/icd-10-pcs","041L09L","Bypass Left Femoral Artery to Popliteal Artery with Autologous Venous Tissue, Open Approach"
"35556","http://hl7.org/fhir/sid/icd-10-pcs","041K09L","Bypass Right Femoral Artery to Popliteal Artery with Autologous Venous Tissue, Open Approach"
"35606","http://hl7.org/fhir/sid/icd-10-pcs","031H0JY","Bypass Right Common Carotid Artery to Upper Artery with Synthetic Substitute, Open Approach"
"35606","http://hl7.org/fhir/sid/icd-10-pcs","031J0JY","Bypass Left Common Carotid Artery to Upper Artery with Synthetic Substitute, Open Approach"
"35820","http://hl7.org/fhir/sid/icd-10-pcs","0WJC0ZZ","Inspection of Mediastinum, Open Approach"
"35820","http://hl7.org/fhir/sid/icd-10-pcs","0WJB0ZZ","Inspection of Left Pleural Cavity, Open Approach"
"35820","http://hl7.org/fhir/sid/icd-10-pcs","0WJ90ZZ","Inspection of Right Pleural Cavity, Open Approach"
"35840","http://hl7.org/fhir/sid/icd-10-pcs","0WJF0ZZ","Inspection of Abdominal Wall, Open Approach"
"36013","http://hl7.org/fhir/sid/icd-10-pcs","02HK3DZ","Insertion of Intraluminal Device into Right Ventricle, Percutaneous Approach"
"36013","http://hl7.org/fhir/sid/icd-10-pcs","02HQ3DZ","Insertion of Intraluminal Device into Right Pulmonary Artery, Percutaneous Approach"
"36013","http://hl7.org/fhir/sid/icd-10-pcs","02HR3DZ","Insertion of Intraluminal Device into Left Pulmonary Artery, Percutaneous Approach"
"36013","http://hl7.org/fhir/sid/icd-10-pcs","02H63DZ","Insertion of Intraluminal Device into Right Atrium, Percutaneous Approach"
"36830","http://hl7.org/fhir/sid/icd-10-pcs","031B0KF","Bypass Right Radial Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
"36830","http://hl7.org/fhir/sid/icd-10-pcs","031C0KF","Bypass Left Radial Artery to Lower Arm Vein with Nonautologous Tissue Substitute, Open Approach"
"37215","http://hl7.org/fhir/sid/icd-10-pcs","037H3DZ","Dilation of Right Common Carotid Artery with Intraluminal Device, Percutaneous Approach"
"37215","http://hl7.org/fhir/sid/icd-10-pcs","037J3DZ","Dilation of Left Common Carotid Artery with Intraluminal Device, Percutaneous Approach"
"37215","http://hl7.org/fhir/sid/icd-10-pcs","037K3DZ","Dilation of Right Internal Carotid Artery with Intraluminal Device, Percutaneous Approach"
"37215","http://hl7.org/fhir/sid/icd-10-pcs","037L3DZ","Dilation of Left Internal Carotid Artery with Intraluminal Device, Percutaneous Approach"
"37226","http://hl7.org/fhir/sid/icd-10-pcs","047K0DZ","Dilation of Right Femoral Artery with Intraluminal Device, Open Approach"
"37226","http://hl7.org/fhir/sid/icd-10-pcs","047K3DZ","Dilation of Right Femoral Artery with Intraluminal Device, Percutaneous Approach"
"37226","http://hl7.org/fhir/sid/icd-10-pcs","047L0DZ","Dilation of Left Femoral Artery with Intraluminal Device, Open Approach"
"37226","http://hl7.org/fhir/sid/icd-10-pcs","047L3DZ","Dilation of Left Femoral Artery with Intraluminal Device, Percutaneous Approach"
"37226","http://hl7.org/fhir/sid/icd-10-pcs","047M0DZ","Dilation of Right Popliteal Artery with Intraluminal Device, Open Approach"
"37226","http://hl7.org/fhir/sid/icd-10-pcs","047M3DZ","Dilation of Right Popliteal Artery with Intraluminal Device, Percutaneous Approach"
"37226","http://hl7.org/fhir/sid/icd-10-pcs","047N3DZ","Dilation of Left Popliteal Artery with Intraluminal Device, Percutaneous Approach"
"37226","http://hl7.org/fhir/sid/icd-10-pcs","047N0DZ","Dilation of Left Popliteal Artery with Intraluminal Device, Open Approach"
"37785","http://hl7.org/fhir/sid/icd-10-pcs","06BY0ZZ","Excision of Lower Vein, Open Approach"
"38724","http://hl7.org/fhir/sid/icd-10-pcs","07T10ZZ","Resection of Right Neck Lymphatic, Open Approach"
"38724","http://hl7.org/fhir/sid/icd-10-pcs","07T20ZZ","Resection of Left Neck Lymphatic, Open Approach"
"38745","http://hl7.org/fhir/sid/icd-10-pcs","07T50ZZ","Resection of Right Axillary Lymphatic, Open Approach"
"38745","http://hl7.org/fhir/sid/icd-10-pcs","07T60ZZ","Resection of Left Axillary Lymphatic, Open Approach"
"38760","http://hl7.org/fhir/sid/icd-10-pcs","07BH0ZX","Excision of Right Inguinal Lymphatic, Open Approach, Diagnostic"
"39010","http://hl7.org/fhir/sid/icd-10-pcs","0WJC0ZZ","Inspection of Mediastinum, Open Approach"
"39010","http://hl7.org/fhir/sid/icd-10-pcs","0W9C0ZZ","Drainage of Mediastinum, Open Approach"
"39010","http://hl7.org/fhir/sid/icd-10-pcs","0WCC0ZZ","Extirpation of Matter from Mediastinum, Open Approach"
"39010","http://hl7.org/fhir/sid/icd-10-pcs","0WBC0ZX","Excision of Mediastinum, Open Approach, Diagnostic"
"41100","http://hl7.org/fhir/sid/icd-10-pcs","0CB70ZX","Excision of Tongue, Open Approach, Diagnostic"
"44005","http://hl7.org/fhir/sid/icd-10-pcs","0DN80ZZ","Release Small Intestine, Open Approach"
"44005","http://hl7.org/fhir/sid/icd-10-pcs","0DNE0ZZ","Release Large Intestine, Open Approach"
"44120","http://hl7.org/fhir/sid/icd-10-pcs","0DB80ZZ","Excision of Small Intestine, Open Approach"
"44140","http://hl7.org/fhir/sid/icd-10-pcs","0DBH0ZZ","Excision of Cecum, Open Approach"
"44140","http://hl7.org/fhir/sid/icd-10-pcs","0DBK0ZZ","Excision of Ascending Colon, Open Approach"
"44140","http://hl7.org/fhir/sid/icd-10-pcs","0DBL0ZZ","Excision of Transverse Colon, Open Approach"
"44140","http://hl7.org/fhir/sid/icd-10-pcs","0DBM0ZZ","Excision of Descending Colon, Open Approach"
"44140","http://hl7.org/fhir/sid/icd-10-pcs","0DBN0ZZ","Excision of Sigmoid Colon, Open Approach"
"44140","http://hl7.org/fhir/sid/icd-10-pcs","0DBP0ZZ","Excision of Rectum, Open Approach"
"44140.01","http://hl7.org/fhir/sid/icd-10-pcs","0DBK0ZZ","Excision of Ascending Colon, Open Approach"
"44140.01","http://hl7.org/fhir/sid/icd-10-pcs","0DBH0ZZ","Excision of Cecum, Open Approach"
"44140.01","http://hl7.org/fhir/sid/icd-10-pcs","0DBL0ZZ","Excision of Transverse Colon, Open Approach"
"44140.01","http://hl7.org/fhir/sid/icd-10-pcs","0DBB0ZZ","Excision of Ileum, Open Approach"
"44144","http://hl7.org/fhir/sid/icd-10-pcs","0D1E0Z4","Bypass Large Intestine to Cutaneous, Open Approach"
"44950","http://hl7.org/fhir/sid/icd-10-pcs","0DTJ0ZZ","Resection of Appendix, Open Approach"
"44960","http://hl7.org/fhir/sid/icd-10-pcs","0DTJ0ZZ","Resection of Appendix, Open Approach"
"44962","http://hl7.org/fhir/sid/icd-10-pcs","0DTJ0ZZ","Resection of Appendix, Open Approach"
"45111","http://hl7.org/fhir/sid/icd-10-pcs","0DBP0ZZ","Excision of Rectum, Open Approach"
"47562","http://hl7.org/fhir/sid/icd-10-pcs","0FT44ZZ","Resection of Gallbladder, Percutaneous Endoscopic Approach"
"47570","http://hl7.org/fhir/sid/icd-10-pcs","0F144ZB","Bypass Gallbladder to Small Intestine, Percutaneous Endoscopic Approach"
"47600","http://hl7.org/fhir/sid/icd-10-pcs","0FT40ZZ","Resection of Gallbladder, Open Approach"
"49000","http://hl7.org/fhir/sid/icd-10-pcs","0WJF0ZZ","Inspection of Abdominal Wall, Open Approach"
"49006","http://hl7.org/fhir/sid/icd-10-pcs","0W9G00Z","Drainage of Peritoneal Cavity with Drainage Device, Open Approach"
"49084","http://hl7.org/fhir/sid/icd-10-pcs","0W9G4ZX","Drainage of Peritoneal Cavity, Percutaneous Endoscopic Approach, Diagnostic"
"49203","http://hl7.org/fhir/sid/icd-10-pcs","0D5V0ZZ","Destruction of Mesentery, Open Approach"
"49203","http://hl7.org/fhir/sid/icd-10-pcs","0D5W0ZZ","Destruction of Peritoneum, Open Approach"
"49203","http://hl7.org/fhir/sid/icd-10-pcs","0DBV0ZZ","Excision of Mesentery, Open Approach"
"49203","http://hl7.org/fhir/sid/icd-10-pcs","0DBW0ZZ","Excision of Peritoneum, Open Approach"
"49255","http://hl7.org/fhir/sid/icd-10-pcs","0DBU0ZZ","Excision of Omentum, Open Approach"
"49324","http://hl7.org/fhir/sid/icd-10-pcs","0WHG43Z","Insertion of Infusion Device into Peritoneal Cavity, Percutaneous Endoscopic Approach"
"49325","http://hl7.org/fhir/sid/icd-10-pcs","0WWG4YZ","Revision of Other Device in Peritoneal Cavity, Percutaneous Endoscopic Approach"
"49496","http://hl7.org/fhir/sid/icd-10-pcs","0YQ50ZZ","Repair Right Inguinal Region, Open Approach"
"49496","http://hl7.org/fhir/sid/icd-10-pcs","0YQ60ZZ","Repair Left Inguinal Region, Open Approach"
"49496","http://hl7.org/fhir/sid/icd-10-pcs","0YQA0ZZ","Repair Bilateral Inguinal Region, Open Approach"
"49505","http://hl7.org/fhir/sid/icd-10-pcs","0YQ50ZZ","Repair Right Inguinal Region, Open Approach"
"49505","http://hl7.org/fhir/sid/icd-10-pcs","0YQ60ZZ","Repair Left Inguinal Region, Open Approach"
"49505","http://hl7.org/fhir/sid/icd-10-pcs","0YQA0ZZ","Repair Bilateral Inguinal Region, Open Approach"
"49507","http://hl7.org/fhir/sid/icd-10-pcs","0YQ50ZZ","Repair Right Inguinal Region, Open Approach"
"49507","http://hl7.org/fhir/sid/icd-10-pcs","0YQ60ZZ","Repair Left Inguinal Region, Open Approach"
"49507","http://hl7.org/fhir/sid/icd-10-pcs","0YQA0ZZ","Repair Bilateral Inguinal Region, Open Approach"
"49520","http://hl7.org/fhir/sid/icd-10-pcs","0YQ50ZZ","Repair Right Inguinal Region, Open Approach"
"49520","http://hl7.org/fhir/sid/icd-10-pcs","0YQ60ZZ","Repair Left Inguinal Region, Open Approach"
"49520","http://hl7.org/fhir/sid/icd-10-pcs","0YQA0ZZ","Repair Bilateral Inguinal Region, Open Approach"
"49568","http://hl7.org/fhir/sid/icd-10-pcs","0WUF0JZ","Supplement Abdominal Wall with Synthetic Substitute, Open Approach"
"49582","http://hl7.org/fhir/sid/icd-10-pcs","0WQF0ZZ","Repair Abdominal Wall, Open Approach"
"52000","http://hl7.org/fhir/sid/icd-10-pcs","0TJD0ZZ","Inspection of Urethra, Open Approach"
"52001","http://hl7.org/fhir/sid/icd-10-pcs","0T9B8ZZ","Drainage of Bladder, Via Natural or Artificial Opening Endoscopic"
"52234","http://hl7.org/fhir/sid/icd-10-pcs","0T5B8ZZ","Destruction of Bladder, Via Natural or Artificial Opening Endoscopic"
"54152","http://hl7.org/fhir/sid/icd-10-pcs","0VBT0ZZ","Excision of Prepuce, Open Approach"
"55720","http://hl7.org/fhir/sid/icd-10-pcs","0V900ZZ","Drainage of Prostate, Open Approach"
"55821","http://hl7.org/fhir/sid/icd-10-pcs","0VB00ZZ","Excision of Prostate, Open Approach"
"56340","http://hl7.org/fhir/sid/icd-10-pcs","0FT44ZZ","Resection of Gallbladder, Percutaneous Endoscopic Approach"
"58120","http://hl7.org/fhir/sid/icd-10-pcs","0UDB7ZZ","Extraction of Endometrium, Via Natural or Artificial Opening"
"58180","http://hl7.org/fhir/sid/icd-10-pcs","0UT90ZZ","Resection of Uterus, Open Approach"
"58270","http://hl7.org/fhir/sid/icd-10-pcs","0UT97ZZ","Resection of Uterus, Via Natural or Artificial Opening"
"59514","http://hl7.org/fhir/sid/icd-10-pcs","10D00Z1","Extraction of Products of Conception, Low, Open Approach"
"60500","http://hl7.org/fhir/sid/icd-10-pcs","0GJR0ZZ","Inspection of Parathyroid Gland, Open Approach"
"61154","http://hl7.org/fhir/sid/icd-10-pcs","00930ZZ","Drainage of Intracranial Epidural Space, Open Approach"
"61312","http://hl7.org/fhir/sid/icd-10-pcs","00930ZZ","Drainage of Intracranial Epidural Space, Open Approach"
"61312","http://hl7.org/fhir/sid/icd-10-pcs","00940ZZ","Drainage of Intracranial Subdural Space, Open Approach"
"61710","http://hl7.org/fhir/sid/icd-10-pcs","03LG3DZ","Occlusion of Intracranial Artery with Intraluminal Device, Percutaneous Approach"
"62223","http://hl7.org/fhir/sid/icd-10-pcs","0WH03YZ","Insertion of Other Device into Head, Percutaneous Approach"
"65420","http://hl7.org/fhir/sid/icd-10-pcs","08B9XZZ","Excision of Left Cornea, External Approach"
"65420","http://hl7.org/fhir/sid/icd-10-pcs","08B8XZZ","Excision of Right Cornea, External Approach"
"65426","http://hl7.org/fhir/sid/icd-10-pcs","08B9XZZ","Excision of Left Cornea, External Approach"
"65426","http://hl7.org/fhir/sid/icd-10-pcs","08B8XZZ","Excision of Right Cornea, External Approach"
"66850","http://hl7.org/fhir/sid/icd-10-pcs","08F4XZZ","Fragmentation in Right Vitreous, External Approach"
"66850","http://hl7.org/fhir/sid/icd-10-pcs","08F5XZZ","Fragmentation in Left Vitreous, External Approach"
"66984","http://hl7.org/fhir/sid/icd-10-pcs","08H005Z","Insertion of Epiretinal Visual Prosthesis into Right Eye, Open Approach"
"66984","http://hl7.org/fhir/sid/icd-10-pcs","08H105Z","Insertion of Epiretinal Visual Prosthesis into Left Eye, Open Approach"
"67000","http://hl7.org/fhir/sid/icd-10-pcs","08RJ30Z","Replacement of Right Lens with Intraocular Telescope, Percutaneous Approach"
"67000","http://hl7.org/fhir/sid/icd-10-pcs","08RK30Z","Replacement of Left Lens with Intraocular Telescope, Percutaneous Approach"
"67028","http://hl7.org/fhir/sid/icd-10-pcs","08UE3JZ","Supplement Right Retina with Synthetic Substitute, Percutaneous Approach"
"67028","http://hl7.org/fhir/sid/icd-10-pcs","08UF3JZ","Supplement Left Retina with Synthetic Substitute, Percutaneous Approach"
